,0
0,0
1,1
2,0
3,0
4,1
5,1
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,1
23,1
24,1
25,1
26,0
27,0
28,1
29,1
30,1
31,1
32,0
33,1
34,0
35,0
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,0
53,0
54,1
55,1
56,0
57,0
58,1
59,1
60,1
61,0
62,1
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,1
75,0
76,1
77,1
78,1
79,1
80,0
81,0
82,0
83,1
84,0
85,1
86,1
87,1
88,0
89,1
90,1
91,0
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,1
108,1
109,0
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,0
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,0
133,1
134,1
135,0
136,0
137,1
138,1
139,1
140,1
141,0
142,1
143,0
144,0
145,1
146,0
147,0
148,0
149,1
150,1
151,0
152,0
153,1
154,0
155,0
156,0
157,0
158,0
159,0
